,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
91,"Need to Know","Doja Cat",1298280,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
92,"Stefania (Kalush Orchestra)",KALUSH,1284655,https://open.spotify.com/track/2vHzOWRKYPLu8umRPIFuOq
93,Infinity,"Jaymes Young",1282255,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
94,"Thousand Miles","The Kid LAROI",1263476,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
95,Crown,"Kendrick Lamar",1244941,https://open.spotify.com/track/2IwbW2jd0Ncv99Aroe77Ru
96,"Save Your Tears","The Weeknd",1239323,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
97,505,"Arctic Monkeys",1238935,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
98,"deja vu","Olivia Rodrigo",1224105,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
99,Bones,"Imagine Dragons",1205719,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
100,"Angel Baby","Troye Sivan",1202308,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
101,"No Role Modelz","J. Cole",1195385,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
102,"Te Felicito",Shakira,1191324,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
103,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",1187071,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
104,"You Proof","Morgan Wallen",1172416,https://open.spotify.com/track/5uU1uuyaUIBOiiUSQG7Wl3
105,"Auntie Diaries","Kendrick Lamar",1167398,https://open.spotify.com/track/19Fg3WrTfo35Ji3PtfZE6J
106,"Happier Than Ever","Billie Eilish",1157065,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
107,"PUFFIN ON ZOOTIEZ",Future,1141722,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
108,Mirror,"Kendrick Lamar",1137433,https://open.spotify.com/track/5LOiuvbH62YGtnwe6Ltt4T
109,"Beautiful Girl",Luciano,1136266,https://open.spotify.com/track/2XRn6Qu0Wd1KvOND8JbaTx
110,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,1127495,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
111,"Without Me",Eminem,1118319,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
112,"MONTERO (Call Me By Your Name)","Lil Nas X",1115592,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
113,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1110874,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
114,"Savior - Interlude","Kendrick Lamar",1084777,https://open.spotify.com/track/5PPUw4Xo3Hz6rl4GpBfd3c
115,"she's all i wanna be","Tate McRae",1066980,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
116,Beggin',Måneskin,1065208,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
117,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1053826,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
118,Pantysito,Alejo,1048229,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
119,"lovely (with Khalid)","Billie Eilish",1046607,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
120,Softcore,"The Neighbourhood",1043553,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
121,"Do It To It",ACRAZE,1035409,https://open.spotify.com/track/20on25jryn53hWghthWWW3
122,Believer,"Imagine Dragons",1029321,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
123,"Don't Start Now","Dua Lipa",1027748,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
124,Pasoori,"Shae Gill",1026256,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
125,"One Right Now (with The Weeknd)","Post Malone",1021507,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
126,"Mother I Sober (feat. Beth Gibbons of Portishead)","Kendrick Lamar",1019836,https://open.spotify.com/track/6NZOc8kO0Fxo0fLPvIdLnW
127,"TUS LÁGRIMAS",Mora,1007839,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
128,"Where Did You Go? (feat. MNEK)","Jax Jones",1003907,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
129,"The Real Slim Shady",Eminem,1001878,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
130,"When You're Gone","Shawn Mendes",1001427,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
131,Yellow,Coldplay,1000712,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
132,Payphone,"Maroon 5",996495,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
133,"LOVE DIVE",IVE,983366,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
134,"Churchill Downs (feat. Drake)","Jack Harlow",981788,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
135,Butter,BTS,981536,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
136,"Someone You Loved","Lewis Capaldi",979198,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
137,"Honest (feat. Don Toliver)","Justin Bieber",978994,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
138,Sunroof,"Nicky Youre",976063,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
139,ZOOM,Jessi,972540,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
140,SloMo,Chanel,968772,https://open.spotify.com/track/3XREkzDHsWdBL5tybyCDBH
141,"Counting Stars",OneRepublic,968266,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
142,"Adore You","Harry Styles",965015,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
143,FEARLESS,"LE SSERAFIM",960183,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj
144,"Plan A","Paulo Londra",957807,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
145,DÁKITI,"Bad Bunny",953329,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
146,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",953188,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
147,Unstoppable,Sia,946170,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
148,"Cool for the Summer","Demi Lovato",942640,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
149,Dynamite,BTS,934567,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
150,"Tacones Rojos","Sebastian Yatra",933276,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
151,"Blank Space","Taylor Swift",930964,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
152,"10 Things I Hate About You","Leah Kate",928794,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
153,"SPACE MAN","Sam Ryder",927538,https://open.spotify.com/track/3nhGk6VnrDHy67pXvMhdPa
154,"Dark Red","Steve Lacy",923193,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
155,"Todo De Ti","Rauw Alejandro",919992,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
156,"Bohemian Rhapsody - Remastered 2011",Queen,915301,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
157,"Die For You","The Weeknd",910851,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
158,"Sweetest Pie","Megan Thee Stallion",910547,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
159,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,909113,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
160,"After Dark",Mr.Kitty,908346,https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
161,"Demasiadas Mujeres","C. Tangana",904085,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
162,"With you",Jimin,903416,https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
163,"Locked out of Heaven","Bruno Mars",902567,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
164,Medallo,Blessd,899721,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
165,"Si Quieren Frontear",Duki,895060,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
166,"Smells Like Teen Spirit - Remastered",Nirvana,894968,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
167,"Shape of You","Ed Sheeran",894472,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
168,Iris,"The Goo Goo Dolls",894234,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
169,"love nwantiti (ah ah ah)",CKay,893496,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
170,"The Heart Part 5","Kendrick Lamar",893344,https://open.spotify.com/track/5MMW4CZsZiZt2iuqAXzzWC
171,"You Right","Doja Cat",884921,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
172,Riptide,"Vance Joy",876676,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
173,"The Nights",Avicii,868480,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
174,"Daddy Issues","The Neighbourhood",867553,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
175,"San Lucas","Kevin Kaarl",860347,https://open.spotify.com/track/75UMtPC77vqKRwfSuYuNPO
176,happier,"Olivia Rodrigo",859114,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
177,Heather,"Conan Gray",856060,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
178,Toxic,BoyWithUke,855955,https://open.spotify.com/track/3M214U0mwSm041GsQR3nrO
179,"One Dance",Drake,855915,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
180,"A Tu Merced","Bad Bunny",852865,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
181,"This Love (Taylor’s Version)","Taylor Swift",852383,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
182,Circles,"Post Malone",849635,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
183,"Mr. Brightside","The Killers",847839,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
184,"'Till I Collapse",Eminem,847790,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
185,"Good Looking","Suki Waterhouse",841343,https://open.spotify.com/track/5ZjV4yevHO1QhMw8AjyQbZ
