,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
86,SUPERMODEL,Måneskin,1268104,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR
87,"El Apagón","Bad Bunny",1265168,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
88,"Levitating (feat. DaBaby)","Dua Lipa",1263011,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
89,Infinity,"Jaymes Young",1245953,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
90,505,"Arctic Monkeys",1224573,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
91,"Save Your Tears","The Weeknd",1222329,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
92,"deja vu","Olivia Rodrigo",1215658,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
93,"Thousand Miles","The Kid LAROI",1205914,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
94,"Need to Know","Doja Cat",1203394,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
95,"In The Stars","Benson Boone",1202768,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
96,"United In Grief","Kendrick Lamar",1193654,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
97,"Father Time (feat. Sampha)","Kendrick Lamar",1181191,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
98,"Angel Baby","Troye Sivan",1172119,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
99,"Happier Than Ever","Billie Eilish",1170460,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
100,"La Llevo Al Cielo (Ft. Ñengo Flow)","Chris Jedi",1170098,https://open.spotify.com/track/6DoL1yYIwEW7VZMRaJhoJI
101,Agosto,"Bad Bunny",1163570,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
102,"No Role Modelz","J. Cole",1148035,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
103,"Silent Hill","Kendrick Lamar",1145813,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
104,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",1133620,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
105,"That That (prod. & feat. SUGA of BTS)",PSY,1131598,https://open.spotify.com/track/5oH4DQAuu1J1800RzUsBWa
106,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1130122,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
107,"Adore You","Harry Styles",1129739,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
108,"Dua Lipa","Jack Harlow",1118046,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
109,Yonaguni,"Bad Bunny",1104852,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
110,Bones,"Imagine Dragons",1084360,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
111,"Don’t Blame Me","Taylor Swift",1077908,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
112,"Without Me",Eminem,1066653,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
113,"lovely (with Khalid)","Billie Eilish",1051116,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
114,"MONTERO (Call Me By Your Name)","Lil Nas X",1046468,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
115,"she's all i wanna be","Tate McRae",1044259,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
116,Sunroof,"Nicky Youre",1039326,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
117,Softcore,"The Neighbourhood",1035956,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
118,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1030498,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
119,Yellow,Coldplay,1013752,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
120,Believer,"Imagine Dragons",1006467,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
121,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1004664,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
122,"Sweetest Pie","Megan Thee Stallion",996210,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
123,Beggin',Måneskin,992244,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
124,"PUFFIN ON ZOOTIEZ",Future,990704,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
