,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
140,"UMORE (feat. ARIETE)",PSICOLOGI,413361,https://open.spotify.com/track/5AYkL6iVkGwli8di1NrC3K
141,"Rollin' Pt. 2",Gemitaiz,408535,https://open.spotify.com/track/1Q3G8aiT6zz1SzTT1JlyF6
142,Experimento,"Myke Towers",405432,https://open.spotify.com/track/6c32C8T3KlXrbvWSoD5aON
143,"SUI MURI",PSICOLOGI,404312,https://open.spotify.com/track/1pz0bN7LWZZLTx5odixW7a
144,Lento,"Boro Boro",402055,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
145,"cielo dammi la luna",sangiovanni,400154,https://open.spotify.com/track/2bIChMeF4rVtioVGcyYU8f
146,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",399146,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
147,WALLAH,Ghali,395905,https://open.spotify.com/track/0ButnoyujuPzlldb6HdFV5
148,Boyfriends,"Harry Styles",395297,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
149,abcdefu,GAYLE,394517,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
150,BRAVO,Ghali,394055,https://open.spotify.com/track/6PNwfL9WS92zSD06wjxJXg
151,"TU MI HAI CAPITO (feat. Sfera Ebbasta)",Madame,391428,https://open.spotify.com/track/2tIyoiGw4F82z2C8zb7eZB
152,"Stefania (Kalush Orchestra)",KALUSH,391229,https://open.spotify.com/track/2vHzOWRKYPLu8umRPIFuOq
153,"Tutte le notti","Tommaso Paradiso",390007,https://open.spotify.com/track/08OSRZ3t7XxRx0fXvMACrF
154,BlaBlaBla,MamboLosco,389215,https://open.spotify.com/track/5hGjnVZzA563cMLHy22keP
155,OUV3RTURE,Lazza,388613,https://open.spotify.com/track/7r9hUF9vWuuTPqGK3YS6Oy
156,"BISTURI (feat. Fresh laDouille, Philip)","Simba La Rue",386995,https://open.spotify.com/track/5pVYBehsHj6iiCtiV5UOwQ
157,"Sola (feat. Myke Towers)","Sfera Ebbasta",386673,https://open.spotify.com/track/5LK1zfpswTVPO588AAw6bq
158,"CRUDELIA - I nervi",Marracash,385312,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
159,Brivido,Guè,385057,https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC
160,"Eurovision (feat. Rondodasosa, Baby Gang, A2 Anti, Morad, Beny Jr, Ashe 22 & Freeze corleone)","Central Cee",383398,https://open.spotify.com/track/4f5TKGvkD4TkTjr61GKNAG
161,BAYNA,Ghali,379690,https://open.spotify.com/track/1tZDQqGmN6A6wOWPHkJoC1
162,"Moscow Mule","Bad Bunny",376730,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
163,"Do It To It",ACRAZE,376173,https://open.spotify.com/track/20on25jryn53hWghthWWW3
164,Ridere,"Pinguini Tattici Nucleari",374793,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
165,"Comandamento (feat. Geolier)",Paky,374094,https://open.spotify.com/track/3qWKjLK0EKxylouzVaiTwh
166,"Essere liberi",Coez,373588,https://open.spotify.com/track/56eHnJrTZRWy6qKWy1iIVO
167,"House of Memories","Panic! At The Disco",372438,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
168,Veleno,Guè,370797,https://open.spotify.com/track/5b5LAmQZx3mKmhL7PQGegi
169,ALIBI,Lazza,370581,https://open.spotify.com/track/1zfszqoisdKWCIfFToaMHi
170,MASK,"Simba La Rue",368947,https://open.spotify.com/track/5lSuR0WiW0A1Kq2nAOwIHy
171,"Come nelle canzoni",Coez,367241,https://open.spotify.com/track/6Pnziw2QOsrYVJjvXpZ8fZ
172,EGO,"Icy Subzero",365532,https://open.spotify.com/track/6i88tx7811AzFNDknwILat
173,"Ricordarmi di scordarti",Mida,365242,https://open.spotify.com/track/7HfIA6XWVZWsLC7SSBdavy
174,"One Kiss (with Dua Lipa)","Calvin Harris",364917,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
175,"Quando Sto Con Te",Gemitaiz,363704,https://open.spotify.com/track/2FLuWGIR4WwxWbdwZ0GHwd
176,Mujeriego,"Ryan Castro",362520,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
