,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
94,"Kiss Me More (feat. SZA)","Doja Cat",530962,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
95,Boyfriend,"Dove Cameron",525907,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
96,"Adore You","Harry Styles",524482,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
97,"The Real Slim Shady",Eminem,521621,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
98,"Why'd You Only Call Me When You're High?","Arctic Monkeys",520525,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
99,"One Dance",Drake,517257,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
100,"Balling (feat. Songer, Mr Traumatik, Devilman & OneDa) - Edit","Vibe Chemistry",508037,https://open.spotify.com/track/2WObGIQXhjveq6yuXvf6VQ
101,"Wonderwall - Remastered",Oasis,506848,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
102,"Do I Wanna Know?","Arctic Monkeys",504664,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
103,"Thiago Silva",Dave,504371,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
104,"Without Me",Eminem,502212,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
105,Stan,Eminem,501322,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
106,"Make You Smile","D-Block Europe",500921,https://open.spotify.com/track/7au23Qf6zRs72N3RztqUQe
107,"Still Sleepless",D.O.D,500109,https://open.spotify.com/track/4vyG9ZhHT8MKJE5mTICMFC
108,"Dreams - 2004 Remaster","Fleetwood Mac",497100,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
109,"Funky Friday",Dave,495732,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
110,"Black Beatles","D-Block Europe",490686,https://open.spotify.com/track/5NSMTglRdvEU96yrUuj6Mc
111,"drivers license","Olivia Rodrigo",490138,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
112,Falling,"Harry Styles",488407,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
113,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,487280,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
114,traitor,"Olivia Rodrigo",484585,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
115,Tropical,SL,484380,https://open.spotify.com/track/3qIxnOusGoTpHvNVMLHscw
116,"Sex on Fire","Kings of Leon",481085,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
117,"Head & Heart (feat. MNEK)","Joel Corry",480554,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
118,"Don't Look Back in Anger - Remastered",Oasis,475810,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
119,"Count Me Out","Kendrick Lamar",475741,https://open.spotify.com/track/7pj6P5WnxkZsw3XRc8eMe1
120,"Obsessed With You","Central Cee",475681,https://open.spotify.com/track/4oxGI8yyghLuMV7ybRG3kg
121,"Remember (and David Guetta)","Becky Hill",473044,https://open.spotify.com/track/6feiJqgHqeSvkGUzf11AYs
122,"Fingers Crossed","Lauren Spencer-Smith",468108,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
123,Naive,"The Kooks",466552,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
124,"Remind Me","Tom Grennan",461722,https://open.spotify.com/track/6VIYEyjNW71NnIGEduf8D8
125,"Silent Hill","Kendrick Lamar",460005,https://open.spotify.com/track/3tYTyAt1q6BFBiGyYVOLhi
126,Pompeii,Bastille,457982,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795
127,"Someone You Loved","Lewis Capaldi",457888,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
128,"Overpass Graffiti","Ed Sheeran",457547,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
129,"Freaky Deaky",Tyga,455418,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
130,"Last Last","Burna Boy",454062,https://open.spotify.com/track/2PDgArI0p7UkeYgXWuqpmh
131,"Dancing in the Moonlight",Toploader,449602,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
132,"Birthday Cake","Dylan Conrique",448023,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
133,2055,"Sleepy Hallow",447019,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
134,"Happier Than Ever","Billie Eilish",444200,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
135,"Ni**as In Paris",JAY-Z,444165,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
136,"Glad U Came (feat. ZieZie)",Liilz,442479,https://open.spotify.com/track/0P88fVbvRQGgRQN1GulQNy
137,Afterglow,Wilkinson,441210,https://open.spotify.com/track/6LW3Z1GqbL78TIjfDyg4zp
138,"Take Me To Church",Hozier,439656,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
