,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
79,"Wildest Dreams (Taylor's Version)","Taylor Swift",2555322,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
80,"Like A Blade Of Grass","Jack Harlow",2548820,https://open.spotify.com/track/22xea6Z2a8BbyVeCksSBX9
81,"Money Trees","Kendrick Lamar",2539927,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
82,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",2526626,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
83,"Whiskey Glasses","Morgan Wallen",2522920,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
84,"10 Things I Hate About You","Leah Kate",2517408,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
85,"Poison (feat. Lil Wayne)","Jack Harlow",2495073,https://open.spotify.com/track/1hs54MGy1J69I52GvzsrbB
86,"Big Energy",Latto,2426346,https://open.spotify.com/track/4pi1G1x8tl9VfdD9bL3maT
87,"One Right Now (with The Weeknd)","Post Malone",2402406,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
88,"deja vu","Olivia Rodrigo",2393734,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
89,Lost,"Frank Ocean",2363426,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
90,"20 Min","Lil Uzi Vert",2360523,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
91,"Right On","Lil Baby",2333520,https://open.spotify.com/track/6ws54n2IzyrIxxyzlG2bVJ
92,"Parent Trap (feat. Justin Timberlake)","Jack Harlow",2324831,https://open.spotify.com/track/4obgLgDkkjoGpRMa9lyFWW
93,"Levitating (feat. DaBaby)","Dua Lipa",2316964,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
94,"Lil Secret","Jack Harlow",2294303,https://open.spotify.com/track/7ky2X6PAaUZTQjaDniHRot
95,"The Spins","Mac Miller",2281438,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
96,712PM,Future,2245634,https://open.spotify.com/track/3FSwpQ9dBZBeBV6UdYHI2R
97,"Light Switch","Charlie Puth",2243270,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
98,"Tek It",Cafuné,2230984,https://open.spotify.com/track/751srcHf5tUqcEa9pRCQwP
99,"Watermelon Sugar","Harry Styles",2230743,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
100,"Good Looking","Suki Waterhouse",2215158,https://open.spotify.com/track/5ZjV4yevHO1QhMw8AjyQbZ
101,abcdefu,GAYLE,2205050,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
102,"Happier Than Ever","Billie Eilish",2205001,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
103,"Die For You","The Weeknd",2193076,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
104,"Honest (feat. Don Toliver)","Justin Bieber",2191582,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
105,Heartless,"Kanye West",2183993,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
106,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2152156,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
107,Flowers,"Lauren Spencer-Smith",2148791,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
108,"Blinding Lights","The Weeknd",2140371,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
109,"Vegas (From the Original Motion Picture Soundtrack ELVIS)","Doja Cat",2138951,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF
110,"NEW MAGIC WAND","Tyler, The Creator",2137234,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
111,"pushin P (feat. Young Thug)",Gunna,2136170,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
112,"Bound 2","Kanye West",2132544,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
113,"Easy On Me",Adele,2107977,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
114,"drivers license","Olivia Rodrigo",2104027,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
115,"Numb Little Bug","Em Beihold",2094765,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
116,"Sand In My Boots","Morgan Wallen",2094540,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
117,"Mr. Brightside","The Killers",2083604,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
118,Yonaguni,"Bad Bunny",2082063,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
119,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,2075724,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
120,"'Til You Can't","Cody Johnson",2074772,https://open.spotify.com/track/4k3lPl8YTKuY8c1HelVnm3
121,"The Motto",Tiësto,2069445,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
122,Dandelions,"Ruth B.",2046330,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
123,"In The Stars","Benson Boone",2045103,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
124,"she's all i wanna be","Tate McRae",2033869,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
125,"Flashing Lights","Kanye West",2031542,https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO
126,"Wet Dreamz","J. Cole",2031372,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd
127,"In My Head","Lil Tjay",2026839,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
128,RAPSTAR,"Polo G",2020370,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
129,"Whiskey On You","Nate Smith",2018548,https://open.spotify.com/track/6Tm4Io4ct4w14nB1EUzsY3
130,"Ain't Shit","Doja Cat",2018081,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
131,"SI SUPIERAS","Eslabon Armado",2013789,https://open.spotify.com/track/7KDYKPhxFFRDBSbgcfLxUT
132,"Sweetest Pie","Megan Thee Stallion",2000420,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
133,"You Right","Doja Cat",1989525,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
134,"Get Into It (Yuh)","Doja Cat",1985158,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
135,Notion,"The Rare Occasions",1984861,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
136,"Jugaste y Sufrí","Eslabon Armado",1970695,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
137,"Space Song","Beach House",1935674,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
138,Pepas,Farruko,1935246,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
139,"Flower Shops (feat. Morgan Wallen)",ERNEST,1930629,https://open.spotify.com/track/0De9jFjJ4eRLl7Yww2eBw1
