,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
118,"Los Pollos Hermanos",Knucks,462938,https://open.spotify.com/track/0Y4mKsTiRbldLocloTolM1
119,"Cate’s Brother","Maisie Peters",460810,https://open.spotify.com/track/7uHJpostAYqNJ8nZM1tp78
120,"In A Minute","Lil Baby",460548,https://open.spotify.com/track/3ihIZrJreMJPjQdNLrEXnP
121,"Someone You Loved","Lewis Capaldi",460425,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
122,"Oh My God",Adele,458691,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
123,"Don't Look Back in Anger - Remastered",Oasis,457419,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
124,"Used To This",Wilkinson,455770,https://open.spotify.com/track/37nGZSaEXsKzOZLINC3VOp
125,Gangsteritus,"Potter Payper",455740,https://open.spotify.com/track/2Gg9UhRTym4rztR9vU0Pvu
126,Falling,"Harry Styles",454542,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
127,Softcore,"The Neighbourhood",453027,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
128,"Ni**as In Paris",JAY-Z,452643,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
129,Golden,"Harry Styles",452444,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
130,"Levitating (feat. DaBaby)","Dua Lipa",452047,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
131,"Dance Wiv Me - Radio Edit","Dizzee Rascal",452023,https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
132,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",450040,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
133,"deja vu","Olivia Rodrigo",449604,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
134,"Honest (feat. Don Toliver)","Justin Bieber",447479,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
135,"Fluorescent Adolescent","Arctic Monkeys",447341,https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM
136,"Take Me To Church",Hozier,447121,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
137,"Green Green Grass","George Ezra",444437,https://open.spotify.com/track/3rk4aJ0vAj3cFUIQEeASkT
138,Afterglow,Wilkinson,442378,https://open.spotify.com/track/6LW3Z1GqbL78TIjfDyg4zp
139,"Alone With You",Arz,442159,https://open.spotify.com/track/0W7brFokN6QtGRNp32RCQP
140,"Dark Red","Steve Lacy",441812,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
141,"Black Magic",Jonasu,440323,https://open.spotify.com/track/7zx1i0jGcFwMBurajgKlO7
142,"Smells Like Teen Spirit - Remastered",Nirvana,440081,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
143,"Bound 2","Kanye West",438609,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
144,"love nwantiti (ah ah ah)",CKay,435991,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
145,Yellow,Coldplay,434204,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
146,"Dancing in the Moonlight",Toploader,434147,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
147,"Save Your Tears","The Weeknd",432278,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
148,"The Chain - 2004 Remaster","Fleetwood Mac",432154,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
149,"21 Reasons (feat. Ella Henderson)","Nathan Dawe",431875,https://open.spotify.com/track/1RF02Cf80mTaeNXG2P2boR
150,"Counting Stars",OneRepublic,428939,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
151,2055,"Sleepy Hallow",426341,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
152,"Flowers (Say My Name)",ArrDee,425480,https://open.spotify.com/track/2jjsIpj4OG68TpojNlZcE6
153,"Numb Little Bug","Em Beihold",424904,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
154,Revenge,XXXTENTACION,423195,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
155,"Just Coz",Aitch,420193,https://open.spotify.com/track/1vThiuxP3lAHp85Q9qO8E5
156,"She Moves In Her Own Way","The Kooks",419421,https://open.spotify.com/track/5xoUgPXbMNUmoHU0Enwtwq
157,"Pump 101","Digga D",418871,https://open.spotify.com/track/3OXDXFNsmCCKx7YZk2Emi9
158,"In Da Club","50 Cent",414375,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
159,Classic,MKTO,413644,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
160,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,413152,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
161,"Everywhere - 2017 Remaster","Fleetwood Mac",412665,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
162,"Fair Trade (with Travis Scott)",Drake,411671,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
163,"Still D.R.E.","Dr. Dre",410581,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
164,"IDGAF (with blackbear)",BoyWithUke,409037,https://open.spotify.com/track/4ZUpTMKPYFTfJqamWFU9Zv
165,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",406012,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
166,"Shut Up and Dance","WALK THE MOON",405770,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
167,"Hypersonic Missiles","Sam Fender",405508,https://open.spotify.com/track/6CltzquypraYIlWFp48m1O
168,"Don’t Blame Me","Taylor Swift",403209,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
169,"Wake Me Up",Avicii,401498,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
170,"Big Energy (feat. DJ Khaled) - Remix",Latto,401164,https://open.spotify.com/track/4nmD4awtUUCC4AGETpUiuP
171,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",401053,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
172,"Bohemian Rhapsody - Remastered 2011",Queen,398801,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
173,Payphone,"Maroon 5",398725,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
174,"Let Her Go",Passenger,397638,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
175,"Don't Stop Believin'",Journey,397204,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
176,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",396864,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
177,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",396514,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
178,"Came In the Scene","Headie One",396383,https://open.spotify.com/track/4SkIdCA9Vp7XXSAlYGtohn
179,"Young Harleezy","Jack Harlow",396091,https://open.spotify.com/track/4CuZSJLlmUrEfcXUm6pQk9
180,"Shape of You","Ed Sheeran",393304,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
181,"MONTERO (Call Me By Your Name)","Lil Nas X",393297,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
182,Verdansk,Dave,391958,https://open.spotify.com/track/7IPKXYU2rTMnrLW5IZ7ZI5
183,"Sweetest Pie","Megan Thee Stallion",391781,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
184,Finesse,Pheelz,391628,https://open.spotify.com/track/4Gasn91fsCefnN8zM5GjA8
185,Passionfruit,Drake,391132,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
186,"Good Looking","Suki Waterhouse",390618,https://open.spotify.com/track/5ZjV4yevHO1QhMw8AjyQbZ
187,Dakota,Stereophonics,390575,https://open.spotify.com/track/3qaSqrrevBrb84xl5JlptU
188,"All Falls Down","Kanye West",390563,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9
189,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",386847,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
