Id User,Username,Verified,Followers,Following,Tweet Count,Location
2896126763,sophiav0620,False,18,56,69,
1529519628833234944,Blxncxl,False,2,9,25,
1509880019786498052,natalieishot,False,1,6,12,she/her
96667694,kauenatan,False,900,265,22964,"Dublin City, Ireland"
760336620956557312,missyzem,False,52,77,156,"Chapel Hill, NC"
1247456013847916544,reportrdotworld,False,776,39,16847,
890638395671760896,CharlieHarrie,False,499,241,4528,
791763709190402048,kayleegxrrett,False,86,206,920,"Virginia, USA"
25855904,brittkanderson,False,176,484,15479,"Derby, CT"
2530432638,fizaaff,False,43,138,1231,
1349101577689325569,vlntss,False,14,73,206,
851470986,hai_its_ash,False,1090,380,48346,Harry’s House
1506239581200429056,Annaanna0201,False,66,263,357,Japan 🇯🇵
1497336415688052738,Suna83483254,False,592,47,10,"New York, USA"
1509280659839332353,xogossipnarry,False,97,58,2990,
1528054060665950208,jayy_aree10,False,0,6,5,
822490440779841536,f_sanders_,False,437,286,4191,
1509186263634661389,treena0422,False,0,12,109,
1368674213616357378,becky77422302,False,7,89,30,Blackpool
1462969034,pinklionheart,False,3672,4751,305957,United States
17846977,TheRealDjDirtyG,False,1074,5005,30830,"New York, NY"
47124095,purecharts,True,102651,295,67790,"Paris, France"
1367998152947695617,viistrying,False,953,1764,24992,
987546845852422144,oficialPFBR,False,12941,686,27078,
427876092,cenungxxx,False,220,59,7980,
2802026278,Gosiadt,False,899,915,35803,Walls 
4595791815,b1ake_hunter,False,545,1163,9129,New York
32912432,blenneman05,False,670,682,78016,"Ellenton, FL"
1403765203,RealLordAndrew,False,291,1047,13862,Brazil
1240987151376015362,taylenasa,False,18,29,801,she/her
4928401937,ChrisRZCW,False,156,81,513,
585054672,chloweleigh,False,83,561,2489,"25, she/her"
1022513953837129728,MsMariMartins,False,143,290,27117,"Rio de Janeiro, Brasil"
1013305217675247616,jerikoaclan,False,481,933,23182,cvt | ust shs - ust nd
1024937227107880960,lking081,False,26,152,2334,
1342946486544457729,tomlinson19913,False,1331,1413,14762,Larrieland
1422862899610071040,zochasano,False,88,76,890,
